AGS,mun_name,municipality_area_m2,landcover_total_area_m2,landcover_area_ratio_to_municipality,artificial_total_area_m2,has_artificial_land
03359007,Bliedersdorf,12411086.183053093,12411085.036182012,0.9999999075930129,667667.6004875095,TRUE
03359009,Burweg,16267940.84281799,16267939.551663872,0.9999999206319884,619293.1773657119,TRUE
03360025,"Uelzen, Hansestadt",136933147.83210912,136933136.76625198,0.9999999191878861,14063221.52318127,TRUE
15091241,"Oranienbaum-Wörlitz, Stadt",115835834.00469567,115835827.70334396,0.9999999456010157,5489320.495915246,TRUE
02000000,"Hamburg, Freie und Hansestadt",742617853.28082335,742617800.9938235,0.9999999295909738,253998036.76941818,TRUE
15089365,Wolmirsleben,16870779.18213933,16870778.37065518,0.9999999519000194,911760.2417287836,TRUE
01058158,Tackesdorf,7266262.169202912,7266261.446364112,0.9999999005212332,33366.884508032614,TRUE
03360012,Jelmstorf,13962852.30302496,13962851.231361674,0.9999999232489707,349098.5154432137,TRUE
12065144,"Hohen Neuendorf, Stadt",48952827.21955197,48952815.562454976,0.999999761870812,9204687.28103361,TRUE
13071110,"Neustrelitz, Residenzstadt",131200564.88093625,131200548.04352108,0.9999998716665954,8145967.080222536,TRUE
15084565,Wetterzeube,41921179.11773494,41921175.910209835,0.9999999234867633,899531.4531180765,TRUE
13071119,Priepert,22177387.184844747,22177385.380039424,0.9999999186195692,264405.1486733065,TRUE
03359020,Grünendeich,2590811.678527903,2590811.40416898,0.999999894103101,804631.1006705834,TRUE
03359021,Guderhandviertel,9230903.761117129,9230903.244909476,0.9999999440783194,727248.5234664633,TRUE
03359022,Hammah,29393174.06893374,29393171.674807373,0.9999999185482193,1343925.5639309045,TRUE
03359023,"Harsefeld, Flecken",52050767.1431126,52050763.78420945,0.99999993546871,4603649.603052275,TRUE
03359025,Himmelpforten,18230152.943041302,18230150.8464732,0.9999998849944863,1752783.526618389,TRUE
03359026,Hollern-Twielenfleth,17721634.14104016,17721632.82463912,0.9999999257178525,1584992.8214956776,TRUE
03359027,"Horneburg, Flecken",16915077.024788674,16915075.72624598,0.9999999232316418,1922468.2976671995,TRUE
03359028,Jork,53187289.75906349,53187285.49967414,0.9999999199171575,5167048.698823381,TRUE
03359029,Kranenburg,14252921.917821907,14252920.847613329,0.99999992491304,381962.70030611806,TRUE
12069590,Schwielowsee,58251152.43320541,58251141.169823326,0.9999998066410429,5263179.26680345,TRUE
15084550,"Weißenfels, Stadt",113702064.57760824,113702056.58151938,0.9999999296750777,16596378.100896113,TRUE
12065136,"Hennigsdorf, Stadt",30693942.67581424,30693934.940742876,0.9999997479935554,7098001.305330664,TRUE
14729250,Machern,39038792.36467315,39038791.623985894,0.9999999810268911,2994149.859591835,TRUE
15088020,"Bad Dürrenberg, Solestadt",36444264.40457499,36444251.07777106,0.9999996343236954,4729605.466827267,TRUE
03359010,"Buxtehude, Hansestadt",76319668.99626867,76319662.69066805,0.9999999173790883,10071153.371805772,TRUE
03359012,Dollern,11996122.546763085,11996121.783448571,0.999999936369897,910492.8007520494,TRUE
03359013,Drochtersen,106998212.64449501,106998204.81495574,0.9999999268255135,5072280.533526473,TRUE
03359015,Engelschoff,19644677.689214565,19644676.093524702,0.999999918772408,324456.7703300105,TRUE
03359016,Estorf,29475453.895685203,29475451.64030412,0.999999923482736,647114.8310080601,TRUE
12068264,"Kyritz, Stadt",157501614.3102262,157501602.88304272,0.9999999274471978,4839319.0107315015,TRUE
03359018,"Freiburg (Elbe), Flecken",26113073.06536835,26113071.655825667,0.9999999460215702,910759.5413179822,TRUE
03359019,Großenwörden,12350347.572480025,12350346.581418741,0.9999999197543812,242885.09148887344,TRUE
13071137,Sietow,18836547.674979374,18836544.12661808,0.9999998116235865,339707.5377730786,TRUE
13071138,Silz,10672141.417973015,10672140.68434891,0.9999999312580224,306166.37855331885,TRUE
03352051,Steinau,36057465.85163946,36057463.22316161,0.9999999271030898,513921.5499441047,TRUE
03359040,Wischhafen,27646661.21535302,27646659.15994719,0.9999999256544646,1516398.128514658,TRUE
03352052,Stinstedt,30462176.376677927,30462173.99334714,0.9999999217609813,410955.0764251456,TRUE
03352055,Wanna,54096507.87568218,54096504.1592886,0.9999999313006749,1241519.1643973961,TRUE
03352056,Wingst,55652986.548234716,55652982.16613932,0.9999999212603731,1333751.0437085852,TRUE
