AGS,mun_name,municipality_area_m2,rp,thesis_group,total_area_m2,flooded_area_m2,flooded_landcover_total_area_m2,original_flood_area_m2,flood_share_of_group,share_of_lc_flooded_area,share_of_original_flood_area
12068425,Temnitzquell,65772265.33243796,rp100,perennial_vegetation,47924973.78803547,4164.2858050588875,4164.2858050588875,4164.286211970776,8.68917701129449e-5,1,0.9999999022853214
12068425,Temnitzquell,65772265.33243796,rp100,water,490061.1402335761,0,4164.2858050588875,4164.286211970776,0,0,0
12068426,Temnitztal,52388044.79760392,rp100,artificial,905317.3955634815,8299.460816043373,2517499.733424333,2517499.6893835943,0.009167459784507597,0.0032967077238790204,0.0032967077815511
12068426,Temnitztal,52388044.79760392,rp100,open_or_seasonal,38635418.69696425,1534124.7903900759,2517499.733424333,2517499.6893835943,0.039707730422774444,0.6093842910971597,0.6093843017576315
12068426,Temnitztal,52388044.79760392,rp100,perennial_vegetation,12799467.008897262,975061.1561861119,2517499.733424333,2517499.6893835943,0.0761798249496108,0.3873133105995694,0.3873133173751668
12068426,Temnitztal,52388044.79760392,rp100,water,47835.417817480855,14.326032102129602,2517499.733424333,2517499.6893835943,2.9948587794908593e-4,5.690579391896564e-6,5.690579491446654e-6
12068468,"Wittstock/Dosse, Stadt",420184423.5675286,rp100,artificial,12242438.33589082,26982.840616425583,985363.7509798663,985363.6709558796,0.002204041374447501,0.027383634307222366,0.027383636531119644
12068468,"Wittstock/Dosse, Stadt",420184423.5675286,rp100,open_or_seasonal,190122907.90295964,31656.394047353213,985363.7509798663,985363.6709558796,1.665048909493374e-4,0.032126607068580955,0.032126609677667575
12068468,"Wittstock/Dosse, Stadt",420184423.5675286,rp100,perennial_vegetation,215204220.7438401,926724.5163160875,985363.7509798663,985363.6709558796,0.0043062562300726324,0.9404897586241967,0.9404898350038543
12068468,"Wittstock/Dosse, Stadt",420184423.5675286,rp100,water,2614816.4182648556,0,985363.7509798663,985363.6709558796,0,0,0
12068477,Wusterhausen/Dosse,196289929.00477478,rp100,artificial,3990767.949908922,367510.0070173076,20993594.696593992,20993594.716365892,0.09209004673541467,0.01750581605145176,0.01750581603496467
12068477,Wusterhausen/Dosse,196289929.00477478,rp100,open_or_seasonal,121667803.96994694,11506057.51017357,20993594.696593992,20993594.716365892,0.09456945169336395,0.5480746711776958,0.5480746706615156
12068477,Wusterhausen/Dosse,196289929.00477478,rp100,perennial_vegetation,69061738.75216153,8703260.634915568,20993594.696593992,20993594.716365892,0.1260214525751883,0.4145674316713177,0.4145674312808755
12068477,Wusterhausen/Dosse,196289929.00477478,rp100,water,1569604.4244289552,416766.5444875469,20993594.696593992,20993594.716365892,0.26552329873762465,0.019852081099534766,0.01985208108083795
12068501,Zernitz-Lohm,37671426.00534109,rp100,artificial,757813.8034184952,3028.2598461353928,730830.5075235319,730830.4927406482,0.003996047356850619,0.004143587076566978,0.004143587160381442
12068501,Zernitz-Lohm,37671426.00534109,rp100,open_or_seasonal,22211684.59042218,511709.6456562173,730830.5075235319,730830.4927406482,0.023037858455673813,0.7001755405506808,0.7001755547134909
12068501,Zernitz-Lohm,37671426.00534109,rp100,perennial_vegetation,14689180.108152319,216092.6020211792,730830.5075235319,730830.4927406482,0.014711005000289322,0.29568087237275226,0.2956808783536411
12068501,Zernitz-Lohm,37671426.00534109,rp100,water,12742.537856654308,0,730830.5075235319,730830.4927406482,0,0,0
12069017,"Beelitz, Stadt",181276681.2923098,rp100,artificial,9915263.312427146,9697.138858383321,1962991.2308549467,1962991.2685753456,9.780011435732178e-4,0.004939980732445708,0.004939980637520149
12069017,"Beelitz, Stadt",181276681.2923098,rp100,open_or_seasonal,50481075.608526126,403697.4469597092,1962991.2308549467,1962991.2685753456,0.007997005651985864,0.20565422841134437,0.20565422445953893
12069017,"Beelitz, Stadt",181276681.2923098,rp100,perennial_vegetation,119834500.18022135,1204722.0057358916,1962991.2308549467,1962991.2685753456,0.010053215091848238,0.6137174668942337,0.6137174551011767
12069017,"Beelitz, Stadt",181276681.2923098,rp100,water,1045825.524780317,344874.63930096256,1962991.2308549467,1962991.2685753456,0.3297630734088326,0.17568832396197634,0.175688320585989
12069018,Beetzsee,21321376.587013684,rp100,artificial,1566236.2643223382,336748.91495037224,6122645.994778822,6122645.591160114,0.21500518320336112,0.055000552904339056,0.05500055653010047
12069018,Beetzsee,21321376.587013684,rp100,open_or_seasonal,11660111.910492739,3306129.5619627726,6122645.994778822,6122645.591160114,0.28354183796363414,0.5399837855695273,0.5399838211664852
12069018,Beetzsee,21321376.587013684,rp100,perennial_vegetation,7416458.423897232,2027979.9377797164,6122645.994778822,6122645.591160114,0.2734431748778071,0.3312260645983953,0.33122608643357004
12069018,Beetzsee,21321376.587013684,rp100,water,678569.1961085042,451787.5800859603,6122645.994778822,6122645.591160114,0.6657944137118166,0.07378959692773825,0.07378960179211613
12069019,Beetzseeheide,37578173.903789505,rp100,artificial,600265.1991948364,34784.04662602357,7206366.378771592,7206366.561815328,0.05794779819433315,0.004826849593505251,0.004826849470901915
12069019,Beetzseeheide,37578173.903789505,rp100,open_or_seasonal,21277040.943385888,4496361.61120232,7206366.378771592,7206366.561815328,0.21132457389945686,0.6239429658263888,0.623942949978062
12069019,Beetzseeheide,37578173.903789505,rp100,perennial_vegetation,15193038.79433081,2342720.2652158597,7206366.378771592,7206366.561815328,0.15419695144134243,0.32509036344821585,0.32509035519082924
12069019,Beetzseeheide,37578173.903789505,rp100,water,507825.59214556665,332500.4557273882,7206366.378771592,7206366.561815328,0.6547532477096546,0.04613982113189015,0.04613981995992573
12069028,Bensdorf,34327538.55117235,rp100,artificial,1208802.8057391886,0,17341.070619636877,17341.06998437426,0,0,0
12069028,Bensdorf,34327538.55117235,rp100,open_or_seasonal,17052986.13511297,11744.72648624524,17341.070619636877,17341.06998437426,6.887196408412159e-4,0.6772780495424321,0.6772780743534402
12069028,Bensdorf,34327538.55117235,rp100,perennial_vegetation,15711309.394083757,1312.5672166811833,17341.070619636877,17341.06998437426,8.354282789284532e-5,0.07569124452989907,0.07569124730272786
12069028,Bensdorf,34327538.55117235,rp100,water,354437.550901536,4283.776916710456,17341.070619636877,17341.06998437426,0.012086126049044122,0.24703070592766888,0.24703071497724732
12069216,Golzow,40204631.36360527,rp100,artificial,1234614.3459387515,0,0,0,0,NA,NA
12069216,Golzow,40204631.36360527,rp100,open_or_seasonal,20385203.71255407,0,0,0,0,NA,NA
12069216,Golzow,40204631.36360527,rp100,perennial_vegetation,18584813.799230006,0,0,0,0,NA,NA
12069216,Golzow,40204631.36360527,rp100,water,0,0,0,0,NA,NA,NA
12069249,Groß Kreutz (Havel),99446262.16933209,rp100,artificial,5806153.23308754,194250.05757170208,33148514.159115065,33148513.75059968,0.033455895801152616,0.005859992898604412,0.0058599929708217455
12069249,Groß Kreutz (Havel),99446262.16933209,rp100,open_or_seasonal,52919510.40138233,17004620.458986018,33148514.159115065,33148513.75059968,0.32132989005396834,0.5129828859707772,0.5129828922926716
12069249,Groß Kreutz (Havel),99446262.16933209,rp100,perennial_vegetation,37148088.970347114,13537174.736436218,33148514.159115065,33148513.75059968,0.3644110669391919,0.4083795331355391,0.4083795381683235
12069249,Groß Kreutz (Havel),99446262.16933209,rp100,water,3572503.323009009,2412468.906121126,33148514.159115065,33148513.75059968,0.6752880789734795,0.07277758799507922,0.07277758889197507
12069270,"Havelsee, Stadt",82086481.8986311,rp100,artificial,2926221.5361988638,814718.4769337918,19418763.144373395,19418763.32697267,0.27841995790657187,0.04195521984982124,0.041955219455306274
12069270,"Havelsee, Stadt",82086481.8986311,rp100,open_or_seasonal,31458511.187728498,6595381.484584889,19418763.144373395,19418763.32697267,0.20965332546181176,0.3396396276915251,0.3396396244978125
12069270,"Havelsee, Stadt",82086481.8986311,rp100,perennial_vegetation,43076871.17547831,8158546.464686288,19418763.144373395,19418763.32697267,0.18939505683807822,0.42013728701615244,0.420137283065501
12069270,"Havelsee, Stadt",82086481.8986311,rp100,water,4624870.901868272,3850116.7181684272,19418763.144373395,19418763.32697267,0.8324809059239096,0.19826786544250127,0.1982678635781411
12069306,Kloster Lehnin,200769111.67734593,rp100,artificial,11995720.986231754,146419.29546114232,22949218.098205186,22949217.664032657,0.01220596041114969,0.0063801430983216586,0.006380143219026552
