Kuerzel,Indikator,n_non_missing,n_missing,coverage_pct,min_year,max_year,official_name,main_dimension,sub_dimension,broad_dimension
a_wo_wg12,Wohnungen in Ein- und Zweifamilienhäusern,834,1,99.88,2023,2023,Anteil Wohnungen in Ein- und Zweifamilienhäusern an allen Wohnungen in %,Bauen und Wohnen,Bauen und Wohnen - Gebäude- und Wohnungsbestand,Housing and land-use context
a_wo_wg3um,Wohnungen in Mehrfamilienhäusern,834,1,99.88,2023,2023,Anteil Wohnungen in Mehrfamilienhäusern an allen Wohnungen in %,Bauen und Wohnen,Bauen und Wohnen - Gebäude- und Wohnungsbestand,Housing and land-use context
alo,Arbeitslose,834,1,99.88,2023,2023,Zahl der Arbeitslosen insgesamt,Absolutzahlen,(no sub-dimension),Basic population and structural counts
bev_korr,Bevölkerung (mit BBSR-Zensuskorrekturen),834,1,99.88,2023,2023,Zensuskorrigierte Zahl der Einwohner insgesamt,Absolutzahlen,(no sub-dimension),Basic population and structural counts
d_steuereinnahme,Steuereinnahmen,834,1,99.88,2023,2023,Steuereinnahmen der Gemeinden und Gemeindeverbände in Euro je Einwohner,Öffentliche Finanzen,(no sub-dimension),"Income, deprivation and social transfers"
e10_bev,Bevölkerungsentwicklung (10 Jahre),834,1,99.88,2023,2023,Entwicklung der Zahl der Einwohner über die letzten 10 Jahre in %,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,Demography and household structure
e5_bev,Bevölkerungsentwicklung (5 Jahre),834,1,99.88,2023,2023,Entwicklung der Zahl der Einwohner über die letzten 5 Jahre in %,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,Demography and household structure
ewf_1565_ges,Erwerbsfähige Bevölkerung (15 bis unter 65 Jahre),834,1,99.88,2023,2023,Zahl der Einwohner im Alter von 15 bis unter 65 Jahren,Absolutzahlen,(no sub-dimension),Basic population and structural counts
i_fz_mz,Erreichbarkeit von Mittelzentren,834,1,99.88,2021,2021,Durchschn. Pkw-Fahrzeit zum nächsten Mittel- oder Oberzentrum in Minuten,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility"
i_fz_oz,Erreichbarkeit von Oberzentren,834,1,99.88,2021,2021,Durchschn. Pkw-Fahrzeit zum nächsten Oberzentrum in Minuten,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility"
i_saldo_nat,Natürlicher Saldo,834,1,99.88,2021,2022,Natürlicher Saldo je 1.000 Einwohner,Bevölkerung,Bevölkerung - Natürliche Bevölkerungsbewegungen,Demography and household structure
i_wans,Gesamtwanderungssaldo,834,1,99.88,2023,2023,Gesamtwanderungssaldo je 1.000 Einwohner,Bevölkerung,Bevölkerung – Wanderungen,Demography and household structure
m_ErrAir_bev,Erreichbarkeit von Flughäfen,834,1,99.88,2024,2024,Durchschn. Pkw-Fahrzeit zum nächsten internationalen Flughafen in Deutschland in Minuten,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility"
m_ErrBAB_bev,Erreichbarkeit von Autobahnen,834,1,99.88,2024,2024,Durchschn. Pkw-Fahrzeit zur nächsten BAB-Anschlussstelle in Minuten,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility"
m_ErrIC_bev,Erreichbarkeit von IC/EC/ICE-Bahnhöfen,834,1,99.88,2024,2024,Durchschn. Pkw-Fahrzeit zum nächsten IC/ICE-Bahnhof in Minuten,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility"
m_G02_SUP_DIST,Entfernung zum Supermarkt/Discounter,834,1,99.88,2023,2023,Einwohnergewichtete Entfernung zum nächsten Supermarkt oder Discounter,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility"
m_OEV20_DIST,Entfernung zur ÖV Haltestelle,834,1,99.88,2022,2022,Einwohnergewichtete Entfernung zur nächsten Haltestelle des ÖV mit mind. 20 Abfahrten am Tag,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility"
m_P01_PRIM_DIST,Entfernung zur Grundschule,834,1,99.88,2023,2023,Einwohnergewichtete Entfernung zur nächsten Grundschule,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility"
m_Q01_APO_DIST,Entfernung zur Apotheke,834,1,99.88,2023,2023,Einwohnergewichtete Entfernung zur nächsten Apotheke,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility"
m_Q07_HA_DIST,Entfernung zum Hausarzt,834,1,99.88,2023,2023,Einwohnergewichtete Entfernung zur nächsten Hausarztpraxis,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility"
