inkar_code,state,municipalities_with_value,municipalities_total,state_coverage_pct
q_bevsva_qkm,16,624,624,100
q_einkst_bev,01,1104,1106,99.8191681735986
q_einkst_bev,02,1,1,100
q_einkst_bev,03,942,964,97.7178423236515
q_einkst_bev,04,2,2,100
q_einkst_bev,05,396,396,100
q_einkst_bev,06,421,425,99.0588235294118
q_einkst_bev,07,2301,2301,100
q_einkst_bev,08,1102,1103,99.909338168631
q_einkst_bev,09,2056,2228,92.2800718132855
q_einkst_bev,10,52,52,100
q_einkst_bev,11,1,1,100
q_einkst_bev,12,413,413,100
q_einkst_bev,13,726,726,100
q_einkst_bev,14,418,418,100
q_einkst_bev,15,218,218,100
q_einkst_bev,16,624,624,100
q_gewst_bev,01,1104,1106,99.8191681735986
q_gewst_bev,02,1,1,100
q_gewst_bev,03,942,964,97.7178423236515
q_gewst_bev,04,2,2,100
q_gewst_bev,05,396,396,100
q_gewst_bev,06,421,425,99.0588235294118
q_gewst_bev,07,2301,2301,100
q_gewst_bev,08,1102,1103,99.909338168631
q_gewst_bev,09,2056,2228,92.2800718132855
q_gewst_bev,10,52,52,100
q_gewst_bev,11,1,1,100
q_gewst_bev,12,413,413,100
q_gewst_bev,13,726,726,100
q_gewst_bev,14,418,418,100
q_gewst_bev,15,218,218,100
q_gewst_bev,16,624,624,100
q_hausarzt_bev,01,1104,1106,99.8191681735986
q_hausarzt_bev,02,1,1,100
q_hausarzt_bev,03,941,964,97.6141078838174
q_hausarzt_bev,04,2,2,100
q_hausarzt_bev,05,396,396,100
q_hausarzt_bev,06,421,425,99.0588235294118
q_hausarzt_bev,07,2301,2301,100
q_hausarzt_bev,08,1101,1103,99.818676337262
q_hausarzt_bev,09,2056,2228,92.2800718132855
q_hausarzt_bev,10,52,52,100
q_hausarzt_bev,11,1,1,100
q_hausarzt_bev,12,413,413,100
q_hausarzt_bev,13,726,726,100
q_hausarzt_bev,14,418,418,100
q_hausarzt_bev,15,218,218,100
q_hausarzt_bev,16,624,624,100
q_internist_bev,01,1104,1106,99.8191681735986
q_internist_bev,02,1,1,100
q_internist_bev,03,941,964,97.6141078838174
q_internist_bev,04,2,2,100
q_internist_bev,05,396,396,100
q_internist_bev,06,421,425,99.0588235294118
q_internist_bev,07,2301,2301,100
q_internist_bev,08,1101,1103,99.818676337262
q_internist_bev,09,2056,2228,92.2800718132855
q_internist_bev,10,52,52,100
q_internist_bev,11,1,1,100
q_internist_bev,12,413,413,100
q_internist_bev,13,726,726,100
q_internist_bev,14,418,418,100
q_internist_bev,15,218,218,100
q_internist_bev,16,624,624,100
q_kaufkraft,01,1104,1106,99.8191681735986
q_kaufkraft,02,1,1,100
